ID_atomic_exc,File ID,Axis,Skill,Atomic Skill,Exercise Text,Solution
SC_ma_24_B_01_01,SC_ma_24_B_01.md,الاحتمالات,تمثيل تجربة عشوائية,بناء شجرة الاحتمالات لسحب مع الإرجاع,"**تمرين 1: بناء شجرة الاحتمالات**

يحتوي كيس على 5 قطع كهربائية، منها 3 قطع سليمة (نرمز لها بـ $S$) وقطعتان غير سليمتين (نرمز لهما بـ $\overline{S}$). 

نسحب عشوائياً قطعة واحدة، ثم نعيدها إلى الكيس، ثم نسحب قطعة ثانية، ثم نعيدها، ثم نسحب قطعة ثالثة.

**قم بإنشاء شجرة الاحتمالات التي تُمثل نتائج هذه التجربة، مع كتابة الاحتمالات على كل فرع.**","**الحل المقترح:**

**الخطوة 1: تحديد احتمالات السحب الواحدة**
*   احتمال سحب قطعة سليمة $P(S) = \frac{\text{عدد القطع السليمة}}{\text{العدد الكلي للقطع}} = \frac{3}{5}$
*   احتمال سحب قطعة غير سليمة $P(\overline{S}) = \frac{\text{عدد القطع غير السليمة}}{\text{العدد الكلي للقطع}} = \frac{2}{5}$

**الخطوة 2: بناء شجرة الاحتمالات**
بما أن السحب يتم ""مع الإرجاع""، فإن احتمالات كل سحبة مستقلة عن السحبات الأخرى وتبقى ثابتة. الشجرة ستكون على النحو التالي (وصف للمسارات والنتائج بدلاً من رسم مباشر):

*   **السحبة الأولى:**
    *   فرع $S$ باحتمال $\frac{3}{5}$
    *   فرع $\overline{S}$ باحتمال $\frac{2}{5}$

*   **السحبة الثانية (لكل فرع من السحبة الأولى):**
    *   إذا كانت السحبة الأولى $S$: 
        *   فرع $S$ باحتمال $\frac{3}{5}$
        *   فرع $\overline{S}$ باحتمال $\frac{2}{5}$
    *   إذا كانت السحبة الأولى $\overline{S}$: 
        *   فرع $S$ باحتمال $\frac{3}{5}$
        *   فرع $\overline{S}$ باحتمال $\frac{2}{5}$

*   **السحبة الثالثة (لكل فرع من السحبة الثانية):**
    *   لكل نتيجة من السحبتين الأولتين (مثلاً $S,S$ أو $S,\overline{S}$ أو $\overline{S},S$ أو $\overline{S},\overline{S}$):
        *   فرع $S$ باحتمال $\frac{3}{5}$
        *   فرع $\overline{S}$ باحتمال $\frac{2}{5}$

**وصف مسارات الشجرة مع احتمالاتها:**
*   $S_1 S_2 S_3$: $\left(\frac{3}{5}\right)^3 = \frac{27}{125}$
*   $S_1 S_2 \overline{S}_3$: $\left(\frac{3}{5}\right)^2 \times \frac{2}{5} = \frac{18}{125}$
*   $S_1 \overline{S}_2 S_3$: $\frac{3}{5} \times \frac{2}{5} \times \frac{3}{5} = \frac{18}{125}$
*   $S_1 \overline{S}_2 \overline{S}_3$: $\frac{3}{5} \times \left(\frac{2}{5}\right)^2 = \frac{12}{125}$
*   $\overline{S}_1 S_2 S_3$: $\frac{2}{5} \times \left(\frac{3}{5}\right)^2 = \frac{18}{125}$
*   $\overline{S}_1 S_2 \overline{S}_3$: $\frac{2}{5} \times \frac{3}{5} \times \frac{2}{5} = \frac{12}{125}$
*   $\overline{S}_1 \overline{S}_2 S_3$: $\left(\frac{2}{5}\right)^2 \times \frac{3}{5} = \frac{12}{125}$
*   $\overline{S}_1 \overline{S}_2 \overline{S}_3$: $\left(\frac{2}{5}\right)^3 = \frac{8}{125}$

(مجموع هذه الاحتمالات يساوي 1)."
SC_ma_24_B_01_02,SC_ma_24_B_01.md,الاحتمالات,حساب احتمالات الحوادث,حساب احتمال حادثة بسيطة ومركبة (سحب قطعة واحدة فقط سليمة),"**تمرين 2: حساب احتمالات الحوادث**

لدينا كيس يحتوي على 5 قطع كهربائية: 3 سليمة (S) و 2 غير سليمة ($\overline{S}$). 
نسحب 3 قطع على التوالي مع الإرجاع.

نعتبر الحوادث التالية:
*   $A$ : ""القطعة الأولى المسحوبة سليمة""
*   $B$ : ""سحب قطعة واحدة فقط سليمة من بين القطع الثلاث المسحوبة""
*   $C$ : ""القطعة الثالثة المسحوبة سليمة""

**1. احسب الاحتمالات $P(A)$ و $P(B)$.**
**2. بيّن أن احتمال الحادثة $C$ هو $P(C) = \frac{3}{5}$.**","**الحل المقترح:**

**المعطيات الأساسية:**
*   احتمال سحب قطعة سليمة في أي سحبة: $P(S) = \frac{3}{5}$
*   احتمال سحب قطعة غير سليمة في أي سحبة: $P(\overline{S}) = \frac{2}{5}$
*   السحب يتم على التوالي مع الإرجاع، مما يعني استقلال السحبات.

**1. حساب $P(A)$ و $P(B)$:**

*   **حساب $P(A)$:**
    الحادثة $A$ هي ""القطعة الأولى المسحوبة سليمة"".
    بما أن السحب يتم مع الإرجاع، فإن احتمال سحب قطعة سليمة في السحبة الأولى هو:
    $P(A) = P(S_1) = \frac{3}{5}$

*   **حساب $P(B)$:**
    الحادثة $B$ هي ""سحب قطعة واحدة فقط سليمة من بين القطع الثلاث المسحوبة"".
    هناك 3 حالات ممكنة لتحقق هذه الحادثة، حيث تكون قطعة واحدة سليمة والباقي غير سليمة:
    1.  القطعة الأولى سليمة، والثانية والثالثة غير سليمتين ($S_1 \overline{S}_2 \overline{S}_3$)
    2.  القطعة الأولى غير سليمة، والثانية سليمة، والثالثة غير سليمة ($\overline{S}_1 S_2 \overline{S}_3$)
    3.  القطعة الأولى والثانية غير سليمتين، والثالثة سليمة ($\overline{S}_1 \overline{S}_2 S_3$)

    نحسب احتمال كل حالة (بفضل استقلال السحبات):
    *   $P(S_1 \overline{S}_2 \overline{S}_3) = P(S) \times P(\overline{S}) \times P(\overline{S}) = \frac{3}{5} \times \frac{2}{5} \times \frac{2}{5} = \frac{12}{125}$
    *   $P(\overline{S}_1 S_2 \overline{S}_3) = P(\overline{S}) \times P(S) \times P(\overline{S}) = \frac{2}{5} \times \frac{3}{5} \times \frac{2}{5} = \frac{12}{125}$
    *   $P(\overline{S}_1 \overline{S}_2 S_3) = P(\overline{S}) \times P(\overline{S}) \times P(S) = \frac{2}{5} \times \frac{2}{5} \times \frac{3}{5} = \frac{12}{125}$

    بما أن هذه الحالات متنافية، فإن $P(B)$ هو مجموع احتمالاتها:
    $P(B) = \frac{12}{125} + \frac{12}{125} + \frac{12}{125} = \frac{36}{125}$

**2. تبيان أن $P(C) = \frac{3}{5}$:**

    الحادثة $C$ هي ""القطعة الثالثة المسحوبة سليمة"".
    بما أن السحب يتم مع الإرجاع، فإن كل سحبة مستقلة عن السحبات الأخرى. وبالتالي، فإن احتمال أن تكون القطعة الثالثة سليمة لا يتأثر بنتائج السحبتين الأوليين.
    إذن، احتمال $P(C)$ هو ببساطة احتمال سحب قطعة سليمة في أي سحبة:
    $P(C) = P(S_3) = \frac{3}{5}$."
SC_ma_24_B_01_03,SC_ma_24_B_01.md,الاحتمالات,الاحتمال الشرطي واستقلالية الحوادث,حساب الاحتمال الشرطي والتحقق من استقلالية حادثتين,"**تمرين 3: الاحتمال الشرطي واستقلالية الحوادث**

لدينا كيس يحتوي على 5 قطع كهربائية: 3 سليمة (S) و 2 غير سليمة ($\overline{S}$). 
نسحب 3 قطع على التوالي مع الإرجاع.

نعتبر الحادثتين:
*   $A$ : ""القطعة الأولى المسحوبة سليمة""
*   $C$ : ""القطعة الثالثة المسحوبة سليمة""

(وقد حسبنا سابقاً أن $P(A) = \frac{3}{5}$ و $P(C) = \frac{3}{5}$).

**1. احسب الاحتمال الشرطي $P_C(A)$ (احتمال تحقق $A$ علماً أن $C$ تحققت).**
**2. هل الحادثتان $A$ و $C$ مستقلتان؟ برر إجابتك.**","**الحل المقترح:**

**المعطيات الأساسية:**
*   $P(S) = \frac{3}{5}$
*   $P(\overline{S}) = \frac{2}{5}$
*   $P(A) = \frac{3}{5}$
*   $P(C) = \frac{3}{5}$
*   السحب مع الإرجاع (استقلالية السحبات).

**1. حساب الاحتمال الشرطي $P_C(A)$:**

    نستخدم تعريف الاحتمال الشرطي: $P_C(A) = \frac{P(A \cap C)}{P(C)}$.

    أولاً، نحسب $P(A \cap C)$. الحادثة $A \cap C$ تعني ""القطعة الأولى المسحوبة سليمة **و** القطعة الثالثة المسحوبة سليمة"".
    بما أن السحبات مستقلة (سحب مع الإرجاع)، فإن نتيجة السحبة الأولى لا تؤثر على نتيجة السحبة الثالثة.
    لذلك، $P(A \cap C) = P(A) \times P(C)$. (هذا صحيح لأن A و C مستقلتان، وهو ما سنثبته لاحقًا).
    $P(A \cap C) = \frac{3}{5} \times \frac{3}{5} = \frac{9}{25}$.

    الآن، نحسب $P_C(A)$:
    $P_C(A) = \frac{P(A \cap C)}{P(C)} = \frac{\frac{9}{25}}{\frac{3}{5}} = \frac{9}{25} \times \frac{5}{3} = \frac{45}{75} = \frac{3}{5}$.

**2. هل الحادثتان $A$ و $C$ مستقلتان؟**

    لتكون حادثتان مستقلتين، يجب أن يتحقق أحد الشروط التالية:
    *   $P(A \cap C) = P(A) \times P(C)$
    *   $P_C(A) = P(A)$
    *   $P_A(C) = P(C)$

    لنقم بالتحقق باستخدام الشرط الثاني الذي حسبناه: $P_C(A) = \frac{3}{5}$.
    ونحن نعلم أن $P(A) = \frac{3}{5}$.
    بما أن $P_C(A) = P(A) = \frac{3}{5}$، فإن الحادثتين $A$ و $C$ مستقلتان.

    يمكن أيضاً التحقق من الشرط الأول:
    $P(A \cap C) = \frac{9}{25}$ (كما حسبناه سابقاً).
    $P(A) \times P(C) = \frac{3}{5} \times \frac{3}{5} = \frac{9}{25}$.
    بما أن $P(A \cap C) = P(A) \times P(C)$، فإن الحادثتين $A$ و $C$ مستقلتان.

    **الخلاصة:** نعم، الحادثتان $A$ و $C$ مستقلتان لأن تحقق إحداهما لا يؤثر على احتمال تحقق الأخرى، وهذا متوقع في حالة السحب مع الإرجاع."
SC_ma_24_B_01_04,SC_ma_24_B_01.md,الاحتمالات,المتغيرات العشوائية,تحديد قيم متغير عشوائي,"**تمرين 4: تحديد قيم المتغير العشوائي**

يحتوي كيس على 5 قطع كهربائية، منها 3 قطع سليمة (S) وقطعتان غير سليمتين ($\overline{S}$). 
نسحب عشوائياً من الكيس 3 قطع على التوالي مع الإرجاع.

نرفق بكل قطعة سليمة العدد 10 وبكل قطعة غير سليمة العدد $-10$. 
نعتبر $X$ المتغير العشوائي الذي يرفق بكل عملية سحب لثلاث قطع ""مجموع الأعداد المرفقة بها"".

**بيّن أن قيم المتغير العشوائي $X$ هي: $30 \,، 10 \,، -10 \,، -30$.**","**الحل المقترح:**

**الخطوة 1: تحديد القيم الممكنة لعدد القطع السليمة وغير السليمة في سحب 3 قطع**
عند سحب 3 قطع من الكيس، يمكن أن يكون لدينا التركيبات التالية من حيث نوع القطع:
*   3 قطع سليمة (3S, 0$\overline{S}$)
*   2 قطعة سليمة و 1 غير سليمة (2S, 1$\overline{S}$)
*   1 قطعة سليمة و 2 غير سليمتين (1S, 2$\overline{S}$)
*   0 قطعة سليمة و 3 غير سليمة (0S, 3$\overline{S}$)

**الخطوة 2: حساب قيمة $X$ لكل حالة ممكنة**
نربط لكل قطعة سليمة العدد 10، ولكل قطعة غير سليمة العدد $-10$.
المتغير العشوائي $X$ هو مجموع الأعداد المرفقة بالقطع الثلاث المسحوبة.

*   **الحالة الأولى: 3 قطع سليمة (3S)**
    قيمة $X = 10 + 10 + 10 = 30$.

*   **الحالة الثانية: 2 قطعة سليمة و 1 غير سليمة (2S, 1$\overline{S}$)**
    قيمة $X = 10 + 10 + (-10) = 20 - 10 = 10$.

*   **الحالة الثالثة: 1 قطعة سليمة و 2 غير سليمتين (1S, 2$\overline{S}$)**
    قيمة $X = 10 + (-10) + (-10) = 10 - 20 = -10$.

*   **الحالة الرابعة: 3 قطع غير سليمة (3$\overline{S}$)**
    قيمة $X = (-10) + (-10) + (-10) = -30$.

**الاستنتاج:**
القيم الممكنة للمتغير العشوائي $X$ هي فعلاً: $\{30, 10, -10, -30\}$. "
SC_ma_24_B_01_05,SC_ma_24_B_01.md,الاحتمالات,المتغيرات العشوائية,تحديد قانون الاحتمال والأمل الرياضي لمتغير عشوائي,"**تمرين 5: قانون الاحتمال والأمل الرياضي**

لدينا كيس يحتوي على 5 قطع كهربائية، منها 3 قطع سليمة (S) و 2 غير سليمة ($\overline{S}$). 
نسحب عشوائياً من الكيس 3 قطع على التوالي مع الإرجاع.

نرفق بكل قطعة سليمة العدد 10 وبكل قطعة غير سليمة العدد $-10$. 
نعتبر $X$ المتغير العشوائي الذي يرفق بكل عملية سحب لثلاث قطع ""مجموع الأعداد المرفقة بها"".
(لقد بيّنا أن قيم المتغير العشوائي $X$ هي: $30 \,، 10 \,، -10 \,، -30$).

**1. عيّن قانون الاحتمال للمتغير العشوائي $X$.**
**2. احسب أمله الرياضي $E(X)$.**","**الحل المقترح:**

**المعطيات الأساسية:**
*   احتمال سحب قطعة سليمة: $P(S) = \frac{3}{5}$
*   احتمال سحب قطعة غير سليمة: $P(\overline{S}) = \frac{2}{5}$
*   عدد السحبات = 3، مع الإرجاع (مستقلة).
*   قيم $X$: $\{30, 10, -10, -30\}$

**1. تعيين قانون الاحتمال للمتغير العشوائي $X$:**

    يجب حساب احتمال كل قيمة من قيم $X$:

    *   **$P(X=30)$:** هذا يحدث عندما تكون القطع الثلاث سليمة ($S_1 S_2 S_3$).
        $P(X=30) = P(S)^3 = \left(\frac{3}{5}\right)^3 = \frac{27}{125}$.

    *   **$P(X=10)$:** هذا يحدث عندما تكون هناك قطعتان سليمتان وقطعة واحدة غير سليمة (2S, 1$\overline{S}$). 
        هناك 3 ترتيبات ممكنة: ($S S \overline{S}$ أو $S \overline{S} S$ أو $\overline{S} S S$).
        احتمال كل ترتيب هو: $\left(\frac{3}{5}\right)^2 \times \left(\frac{2}{5}\right) = \frac{9}{25} \times \frac{2}{5} = \frac{18}{125}$.
        بما أن هناك 3 ترتيبات، فإن:
        $P(X=10) = 3 \times \frac{18}{125} = \frac{54}{125}$.

    *   **$P(X=-10)$:** هذا يحدث عندما تكون هناك قطعة سليمة واحدة وقطعتان غير سليمتين (1S, 2$\overline{S}$). 
        هناك 3 ترتيبات ممكنة: ($S \overline{S} \overline{S}$ أو $\overline{S} S \overline{S}$ أو $\overline{S} \overline{S} S$).
        احتمال كل ترتيب هو: $\left(\frac{3}{5}\right) \times \left(\frac{2}{5}\right)^2 = \frac{3}{5} \times \frac{4}{25} = \frac{12}{125}$.
        بما أن هناك 3 ترتيبات، فإن:
        $P(X=-10) = 3 \times \frac{12}{125} = \frac{36}{125}$.

    *   **$P(X=-30)$:** هذا يحدث عندما تكون القطع الثلاث غير سليمة ($\overline{S}_1 \overline{S}_2 \overline{S}_3$).
        $P(X=-30) = P(\overline{S})^3 = \left(\frac{2}{5}\right)^3 = \frac{8}{125}$.

    **التحقق:** مجموع الاحتمالات يجب أن يساوي 1:
    $P(X=30) + P(X=10) + P(X=-10) + P(X=-30) = \frac{27}{125} + \frac{54}{125} + \frac{36}{125} + \frac{8}{125} = \frac{27+54+36+8}{125} = \frac{125}{125} = 1$.
    المجموع يساوي 1، مما يؤكد صحة الاحتمالات.

    **جدول قانون الاحتمال للمتغير العشوائي $X$:**
    | $x_i$         | 30         | 10         | -10        | -30        |
    |---------------|------------|------------|------------|------------|
    | $P(X=x_i)$    | $\frac{27}{125}$ | $\frac{54}{125}$ | $\frac{36}{125}$ | $\frac{8}{125}$ |

**2. حساب الأمل الرياضي $E(X)$:**

    الأمل الرياضي $E(X)$ يُحسب بالصيغة: $E(X) = \sum x_i P(X=x_i)$.

    $E(X) = (30 \times \frac{27}{125}) + (10 \times \frac{54}{125}) + (-10 \times \frac{36}{125}) + (-30 \times \frac{8}{125})$
    $E(X) = \frac{1}{125} \left( (30 \times 27) + (10 \times 54) + (-10 \times 36) + (-30 \times 8) \right)$
    $E(X) = \frac{1}{125} \left( 810 + 540 - 360 - 240 \right)$
    $E(X) = \frac{1}{125} \left( 1350 - 600 \right)$
    $E(X) = \frac{750}{125}$

    لتبسيط الكسر، نقسم البسط والمقام على 25:
    $750 \div 25 = 30$
    $125 \div 25 = 5$
    $E(X) = \frac{30}{5} = 6$.

    **الاستنتاج:** الأمل الرياضي للمتغير العشوائي $X$ هو $E(X) = 6$."
SC_ma_24_B_02_01,SC_ma_24_B_02.md,الأعداد المركبة,العمليات على الأعداد المركبة,إيجاد مرافق عدد مركب,"**عين الاقتراح الصحيح الوحيد مع التبرير:**

ليكن $z$ عدداً مركباً، و $\bar{z}$ مرافقه.

**مرافق العدد المركب $z+i$ هو:**
أ) $\bar{z}-i$
ب) $\bar{z}+i$
ج) $z-i$","**التبرير:**

نعلم أن مرافق مجموع عددين مركبين هو مجموع مرافقيهما. أي:
$\overline{z_1+z_2} = \overline{z_1} + \overline{z_2}$

لدينا العدد المركب $z+i$.
مرافقه هو $\overline{z+i}$.
بتطبيق الخاصية، نحصل على:
$\overline{z+i} = \overline{z} + \overline{i}$

نعلم أن $i$ هو عدد تخيلي بحت، حيث $i=0+1i$.
مرافق العدد التخيلي البحت $i$ هو $-i$.
إذن: $\overline{i} = -i$.

بالتعويض، نجد:
$\overline{z+i} = \overline{z} - i$

**الاقتراح الصحيح هو أ) $\bar{z}-i$.**"
SC_ma_24_B_02_02,SC_ma_24_B_02.md,الأعداد المركبة,حساب قوى الأعداد المركبة,تبسيط كسر مركب ورفع الناتج إلى قوة كبيرة,"**عين الاقتراح الصحيح الوحيد مع التبرير:**

**قيمة العدد المركب $\left(\frac{1+i}{1-i}\right)^{2024}$ هي:**
أ) $1$
ب) $i$
ج) $-1$","**التبرير:**

لنقم أولاً بتبسيط الكسر $\frac{1+i}{1-i}$:
$\frac{1+i}{1-i} = \frac{(1+i)(1+i)}{(1-i)(1+i)}$ (نضرب البسط والمقام في مرافق المقام)
$= \frac{1^2 + 2i + i^2}{1^2 - i^2}$
$= \frac{1 + 2i - 1}{1 - (-1)}$
$= \frac{2i}{2}$
$= i$

الآن، نحسب قوة هذا العدد:
$\left(\frac{1+i}{1-i}\right)^{2024} = (i)^{2024}$

نعلم أن قوى $i$ تتكرر دورياً كل 4 قيم:
$i^1 = i$
$i^2 = -1$
$i^3 = -i$
$i^4 = 1$

لإيجاد قيمة $i^{2024}$، نقسم الأس 2024 على 4:
$2024 \div 4 = 506$ والباقي $0$.
عندما يكون الباقي 0، فإن $i^n = i^4 = 1$.
إذن، $(i)^{2024} = 1$.

**الاقتراح الصحيح هو أ) $1$.**"
SC_ma_24_B_02_03,SC_ma_24_B_02.md,الأعداد المركبة والمتتاليات والدوال اللوغاريتمية,حساب طويلات الأعداد المركبة، تبسيط عبارات لوغاريتمية، مجموع متتالية حسابية,حساب مجموع متتالية لوغاريتمية ذات حدود متتالية لقوى طويلة عدد مركب,"**عين الاقتراح الصحيح الوحيد مع التبرير:**

ليكن $z$ عدداً مركباً حيث $z=2(1+i\sqrt{3})$.
من أجل كل عدد طبيعي غير معدوم $n$، نضع $S_n=\ln|z|+\ln|z|^2+...+\ln|z|^n$.

**قيمة $S_n$ هي:**
أ) $S_n=(n+1)^2 \ln 2$
ب) $S_n=n(n+1)\ln 2$
ج) $S_n=2\left(\frac{1-(2\ln 2)^n}{1-2\ln 2}\right)\ln 2$","**التبرير:**

أولاً، نحسب طويلة العدد المركب $z$:
$z = 2(1+i\sqrt{3})$
$|z| = |2(1+i\sqrt{3})| = |2| \times |1+i\sqrt{3}|$
$|z| = 2 \times \sqrt{1^2 + (\sqrt{3})^2}$
$|z| = 2 \times \sqrt{1 + 3}$
$|z| = 2 \times \sqrt{4}$
$|z| = 2 \times 2 = 4$

الآن، لنبسط حدود المجموع $S_n$:
الحد الأول: $\ln|z| = \ln 4$
الحد الثاني: $\ln|z|^2 = 2 \ln|z| = 2 \ln 4$ (باستخدام خاصية $\ln(a^k) = k \ln a$)
الحد الثالث: $\ln|z|^3 = 3 \ln|z| = 3 \ln 4$
...
الحد $n$: $\ln|z|^n = n \ln|z| = n \ln 4$

إذن، المجموع $S_n$ يصبح:
$S_n = \ln 4 + 2\ln 4 + 3\ln 4 + ... + n\ln 4$
$S_n = \ln 4 (1 + 2 + 3 + ... + n)$

نحن نعلم أن مجموع الأعداد الطبيعية من 1 إلى $n$ هو $\frac{n(n+1)}{2}$.
إذن:
$S_n = \ln 4 \times \frac{n(n+1)}{2}$

بما أن $4 = 2^2$:
$\ln 4 = \ln (2^2) = 2 \ln 2$

بالتعويض في عبارة $S_n$:
$S_n = (2 \ln 2) \times \frac{n(n+1)}{2}$
$S_n = n(n+1) \ln 2$

**الاقتراح الصحيح هو ب) $S_n=n(n+1)\ln 2$.**"
SC_ma_24_B_02_04,SC_ma_24_B_02.md,الأعداد المركبة,إيجاد الشكل المثلثي لعدد مركب,تحويل عدد مركب مكتوب بصيغة $(\sin \theta + i \cos \theta)$ إلى شكله المثلثي الصحيح,"**عين الاقتراح الصحيح الوحيد مع التبرير:**

ليكن $z$ عدداً مركباً حيث $z=\sin\frac{\pi}{8}+i\cos\frac{\pi}{8}$.

**الشكل المثلثي للعدد المركب $z$ هو:**
أ) $-\cos\frac{\pi}{8}+i\sin\frac{\pi}{8}$
ب) $\cos\frac{\pi}{8}+i\sin\frac{\pi}{8}$
ج) $\cos\frac{3\pi}{8}+i\sin\frac{3\pi}{8}$","**التبرير:**

الشكل المثلثي للعدد المركب يكون على الصورة $r(\cos\theta + i\sin\theta)$ حيث $r$ هي طويلة العدد و $\theta$ هو العمدة.
لدينا $z=\sin\frac{\pi}{8}+i\cos\frac{\pi}{8}$.

أولاً، نحسب الطويلة $r$:
$r = |z| = \sqrt{(\sin\frac{\pi}{8})^2 + (\cos\frac{\pi}{8})^2}$
باستخدام العلاقة المثلثية الأساسية $\sin^2 x + \cos^2 x = 1$:
$r = \sqrt{1} = 1$

الآن، لإيجاد العمدة $\theta$ بحيث $z = 1(\cos\theta + i\sin\theta)$.
نحن نعلم أن:
$\cos\theta = \sin\frac{\pi}{8}$
$\sin\theta = \cos\frac{\pi}{8}$

باستخدام علاقات التحويل بين الدوال المثلثية:
$\sin x = \cos(\frac{\pi}{2} - x)$
$\cos x = \sin(\frac{\pi}{2} - x)$

إذن، يمكننا كتابة:
$\cos\theta = \cos(\frac{\pi}{2} - \frac{\pi}{8})$
$\sin\theta = \sin(\frac{\pi}{2} - \frac{\pi}{8})$

نحسب الزاوية:
$\frac{\pi}{2} - \frac{\pi}{8} = \frac{4\pi}{8} - \frac{\pi}{8} = \frac{3\pi}{8}$

إذن، العمدة هي $\theta = \frac{3\pi}{8}$.

وبالتالي، الشكل المثلثي للعدد المركب $z$ هو:
$z = 1 \left(\cos\frac{3\pi}{8} + i\sin\frac{3\pi}{8}\right) = \cos\frac{3\pi}{8} + i\sin\frac{3\pi}{8}$

**الاقتراح الصحيح هو ج) $\cos\frac{3\pi}{8}+i\sin\frac{3\pi}{8}$.**"
SC_ma_24_B_03_01,SC_ma_24_B_03.md,الدوال العددية,دراسة دوال,حساب المشتقة وتشكيل جدول التغيرات,"**التمرين 1:**

لتكن الدالة العددية $f$ المعرفة على المجال $[1; +\infty[$ بالعبارة:
$$f(x) = \frac{2x+3}{x+1}$$
**1. أحسب المشتقة $f'(x)$ للدالة $f$.**
**2. استنتج اتجاه تغير الدالة $f$ على المجال $[1; +\infty[$.**
**3. شكل جدول تغيرات الدالة $f$ على هذا المجال.**","**الحل النموذجي للتمرين 1:**

لدينا الدالة $f(x) = \frac{2x+3}{x+1}$ معرفة على المجال $[1; +\infty[$.

**1. حساب المشتقة $f'(x)$:**
الدالة $f$ قابلة للاشتقاق على المجال $[1; +\infty[$، وهي من الشكل $\frac{u}{v}$ حيث $u(x) = 2x+3$ و $v(x) = x+1$.
إذن $u'(x) = 2$ و $v'(x) = 1$.
باستخدام قاعدة الاشتقاق $\left(\frac{u}{v}\right)' = \frac{u'v - uv'}{v^2}$:
$$f'(x) = \frac{2(x+1) - (2x+3)(1)}{(x+1)^2}$$
$$f'(x) = \frac{2x+2 - 2x-3}{(x+1)^2}$$
$$f'(x) = \frac{-1}{(x+1)^2}$$

**2. استنتاج اتجاه تغير الدالة $f$:**
من أجل كل $x \in [1; +\infty[$، لدينا $(x+1)^2 > 0$.
وبما أن البسط هو $-1$ (عدد سالب)، فإن $f'(x) = \frac{-1}{(x+1)^2} < 0$.
بما أن المشتقة $f'(x)$ سالبة تمامًا على المجال $[1; +\infty[$، فإن الدالة $f$ متناقصة تمامًا على هذا المجال.

**3. تشكيل جدول تغيرات الدالة $f$:**
نحتاج إلى حساب قيم الدالة عند أطراف المجال.
$f(1) = \frac{2(1)+3}{1+1} = \frac{5}{2} = 2.5$
نحسب نهاية الدالة $f$ عندما $x$ يؤول إلى $+\infty$:
$$\lim_{x \to +\infty} f(x) = \lim_{x \to +\infty} \frac{2x+3}{x+1} = \lim_{x \to +\infty} \frac{x(2+\frac{3}{x})}{x(1+\frac{1}{x})} = \lim_{x \to +\infty} \frac{2+\frac{3}{x}}{1+\frac{1}{x}} = \frac{2+0}{1+0} = 2$$

إذن جدول التغيرات هو:

| $x$             | $1$                 | $\quad$             | $+\infty$          |
| :-------------- | :------------------ | :------------------- | :----------------- |
| $f'(x)$         | $\quad$            | $-$                  | $\quad$           |
| $f(x)$          | $2.5$               | $\searrow$          | $2$                |"
